doc_id,ref,sent_index,skill_digit,inference_reason,confidence
mobility-force-aviator-27bd37197c,2.4,17,5,verbs=monitors|performs,medium
mobility-force-aviator-27bd37197c,2.4,17,7,verbs=monitors|performs,medium
mobility-force-aviator-27bd37197c,2.4,18,1,verbs=operates,medium
mobility-force-aviator-27bd37197c,2.4,18,3,verbs=operates,medium
mobility-force-aviator-27bd37197c,2.4,18,5,verbs=operates,medium
mobility-force-aviator-27bd37197c,2.4,19,3,verbs=monitors,medium
mobility-force-aviator-27bd37197c,2.4,19,5,verbs=monitors,medium
mobility-force-aviator-27bd37197c,2.4,19,7,verbs=monitors,medium
mobility-force-aviator-27bd37197c,2.4,20,3,verbs=monitors,medium
mobility-force-aviator-27bd37197c,2.4,20,5,verbs=monitors,medium
mobility-force-aviator-27bd37197c,2.4,20,7,verbs=monitors,medium
mobility-force-aviator-27bd37197c,2.4,21,1,,low
mobility-force-aviator-27bd37197c,2.4,21,3,,low
mobility-force-aviator-27bd37197c,2.4,21,5,,low
mobility-force-aviator-27bd37197c,2.4,22,1,,low
mobility-force-aviator-27bd37197c,2.4,22,3,,low
mobility-force-aviator-27bd37197c,2.4,22,5,,low
mobility-force-aviator-27bd37197c,2.4,23,3,verbs=monitors,medium
mobility-force-aviator-27bd37197c,2.4,23,5,verbs=monitors,medium
mobility-force-aviator-27bd37197c,2.4,23,7,verbs=monitors,medium
mobility-force-aviator-27bd37197c,2.4,24,1,,low
mobility-force-aviator-27bd37197c,2.4,24,3,,low
mobility-force-aviator-27bd37197c,2.4,24,5,,low
mobility-force-aviator-27bd37197c,2.4,25,1,,low
mobility-force-aviator-27bd37197c,2.4,25,3,,low
mobility-force-aviator-27bd37197c,2.4,25,5,,low
mobility-force-aviator-27bd37197c,2.4,26,3,verbs=monitors,medium
mobility-force-aviator-27bd37197c,2.4,26,5,verbs=monitors,medium
mobility-force-aviator-27bd37197c,2.4,26,7,verbs=monitors,medium
mobility-force-aviator-27bd37197c,2.5,27,1,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.5,27,3,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.5,27,5,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.5,28,1,verbs=checks,medium
mobility-force-aviator-27bd37197c,2.5,28,3,verbs=checks,medium
mobility-force-aviator-27bd37197c,2.5,28,5,verbs=checks,medium
mobility-force-aviator-27bd37197c,2.5,29,1,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.5,29,3,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.5,29,5,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.5,30,1,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.5,30,3,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.5,30,5,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.5,31,7,verbs=directs,medium
mobility-force-aviator-27bd37197c,2.5,31,9,verbs=directs,medium
mobility-force-aviator-27bd37197c,2.5,32,1,verbs=operates,medium
mobility-force-aviator-27bd37197c,2.5,32,3,verbs=operates,medium
mobility-force-aviator-27bd37197c,2.5,32,5,verbs=operates,medium
mobility-force-aviator-27bd37197c,2.5,33,3,verbs=advises|monitors,medium
mobility-force-aviator-27bd37197c,2.5,33,5,verbs=advises|monitors,medium
mobility-force-aviator-27bd37197c,2.5,33,7,verbs=advises|monitors,medium
mobility-force-aviator-27bd37197c,2.5,33,9,verbs=advises|monitors,medium
mobility-force-aviator-27bd37197c,2.5,34,1,,low
mobility-force-aviator-27bd37197c,2.5,34,3,,low
mobility-force-aviator-27bd37197c,2.5,34,5,,low
mobility-force-aviator-27bd37197c,2.5,35,1,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.5,35,3,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.5,35,5,verbs=performs,medium
mobility-force-aviator-27bd37197c,2.6,36,1,verbs=stows,medium
mobility-force-aviator-27bd37197c,2.6,36,3,verbs=stows,medium
mobility-force-aviator-27bd37197c,2.6,36,5,verbs=stows,medium
mobility-force-aviator-27bd37197c,2.6,37,1,,low
mobility-force-aviator-27bd37197c,2.6,37,3,,low
mobility-force-aviator-27bd37197c,2.6,37,5,,low
mobility-force-aviator-27bd37197c,2.6,38,1,,low
