doc_id,ref,sent_index,text_for_embedding,metadata_json
mobility-force-aviator-27bd37197c,2.4,23,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 3,5,7] Monitors provides passenger comfort.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.4"", ""sent_index"": 23, ""skill_digits"": [""3"", ""5"", ""7""]}"
mobility-force-aviator-27bd37197c,2.4,24,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5] Prepares and dispenses passenger meals, snacks, and refreshments.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.4"", ""sent_index"": 24, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.4,25,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 1,3,5] Completes required aircraft forms documentation and border clearance requirements.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.4"", ""sent_index"": 25, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.4,26,"[MOBILITY FORCE AVIATOR | Duty 2.4 | Skills: 3,5,7] Visually monitors aircraft clearances (interior and exterior), identifies proximal threats to the aircraft and initiates corrective actions (aircraft scanning).","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.4"", ""sent_index"": 26, ""skill_digits"": [""3"", ""5"", ""7""]}"
mobility-force-aviator-27bd37197c,2.5,27,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 1,3,5] Performs in-flight refueling aircrew duties.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.5"", ""sent_index"": 27, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.5,28,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 1,3,5] Checks forms for equipment status.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.5"", ""sent_index"": 28, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.5,29,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 1,3,5] Performs visual and operational check of air refueling and associated systems and equipment.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.5"", ""sent_index"": 29, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.5,30,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 1,3,5] Performs in-flight operational check of air refueling systems.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.5"", ""sent_index"": 30, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.5,31,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 7,9] Directs receiver aircraft into air refueling position.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.5"", ""sent_index"": 31, ""skill_digits"": [""7"", ""9""]}"
mobility-force-aviator-27bd37197c,2.5,32,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 1,3,5] Operates in-flight air refueling controls and switches to safely affect contact between tanker and receiver aircraft.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.5"", ""sent_index"": 32, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.5,33,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 3,5,7,9] Monitors control panel for proper operation of equipment during air refueling and advises receiver pilot of actions required to safely maintain position within the air-refueling envelope.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.5"", ""sent_index"": 33, ""skill_digits"": [""3"", ""5"", ""7"", ""9""]}"
mobility-force-aviator-27bd37197c,2.5,34,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 1,3,5] Keeps tanker pilot informed as to progress of air refueling operations.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.5"", ""sent_index"": 34, ""skill_digits"": [""1"", ""3"", ""5""]}"
mobility-force-aviator-27bd37197c,2.5,35,"[MOBILITY FORCE AVIATOR | Duty 2.5 | Skills: 1,3,5] Performs emergency operations and procedures as required for emergency off-load and on-load of fuel.","{""doc_id"": ""mobility-force-aviator-27bd37197c"", ""afsc_title"": ""MOBILITY FORCE AVIATOR"", ""afsc_codes"": [""1A193*"", ""1A173*"", ""1A153*"", ""1A133*"", ""1A113""], ""ref"": ""2.5"", ""sent_index"": 35, ""skill_digits"": [""1"", ""3"", ""5""]}"
